MSOA,MedianHP,Borough,Area,Inner,Political,PopulationDensity,WorkingAge,ObesityRate,LifeExpectancy,BAME,Unemployed,MedianHHIncome,CarsPerHH,OwnershipRate,Sales
E02000104,323000,Brent,West,Outer,Labour,61.1753024,66.691296,19,81.9,70.10492094,7.494836235,32803.12998,1.044735653,58.1,66
E02000105,250000,Brent,West,Outer,Labour,68.91240876,69.441426,20.6,85.1,75.75527059,7.376536778,30263.91786,0.931931932,49.4,53
E02000106,289000,Brent,West,Outer,Labour,77.60793379,68.27836,22.1,81.75,62.36664383,9.972516686,24454.3346,0.773847492,42,43
E02000107,313000,Brent,West,Outer,Labour,115.5546245,74.794239,16.4,80.2,46.53011597,7.644430259,30789.34311,0.612125639,35.9,86
E02000108,262082,Brent,West,Outer,Labour,80.90551181,67.755164,22.9,81.65,73.78493317,7.115666179,28659.01225,0.928737774,54.8,42
E02000109,250000,Brent,West,Outer,Labour,51.89345149,70.042579,24,81.1,76.26723439,8.312631378,28214.57211,0.855085784,47,74
E02000110,460000,Brent,West,Outer,Labour,104.2052566,74.044763,16.3,83.05,46.92716706,7.250052843,36528.08359,0.732569889,45.7,57
E02000111,230500,Brent,West,Outer,Labour,89.26228055,70.772848,22.5,80.6,83.78654672,6.832657788,27149.63414,0.881262869,50.8,47
E02000112,265000,Brent,West,Outer,Labour,74.99211854,71.872349,24.6,81.2,78.93341815,7.604126863,26226.41428,0.809474412,51.9,45
E02000113,211000,Brent,West,Outer,Labour,66.15892701,62.962196,30.7,81.05,75.25634386,13.5518591,20202.34581,0.65154265,22.2,38
E02000114,276000,Brent,West,Outer,Labour,150.2282361,75.105438,16.6,80.55,47.43618202,7.642725599,28587.70906,0.5430839,30.6,78
E02000115,357500,Brent,West,Outer,Labour,98.91598916,76.211031,15.2,81.3,37.87769784,6.822612086,38186.27165,0.561493224,31.9,88
E02000116,227000,Brent,West,Outer,Labour,77.98248814,70.415798,22.2,77.45,59.22973139,9.924917879,23146.64353,0.493815104,22.1,39
E02000117,223000,Brent,West,Outer,Labour,136.6895157,64.854741,28.6,79,68.875385,14.03540792,21148.03379,0.504498574,22.4,49
E02000118,250000,Brent,West,Outer,Labour,78.70167761,70.67374,21.9,81.6,82.68435013,7.520325203,24942.3237,0.871533872,52.1,57
E02000119,180000,Brent,West,Outer,Labour,29.46758449,63.355408,31.1,79.15,78.14569536,14.23905944,21638.39966,0.569503273,12.9,25
E02000120,360000,Brent,West,Outer,Labour,184.7658566,77.078359,17.9,79.3,35.81506403,6.384056747,36708.40738,0.45616086,33.5,123
E02000121,220000,Brent,West,Outer,Labour,67.0990397,72.092242,22.7,80.7,83.9695511,6.74733388,26396.99575,0.876096073,53.1,75
E02000122,407500,Brent,West,Outer,Labour,66.57518297,68.226266,16.3,85.35,41.77497215,5.907457323,47307.34836,0.881851001,54.4,78
E02000123,236500,Brent,West,Outer,Labour,144.1588559,69.393301,24.7,79.9,60.23507032,11.86061801,23115.33918,0.482324949,24,104
E02000124,460000,Brent,West,Outer,Labour,93.07797538,74.779887,17.8,82.15,35.17902563,6.058196852,42552.94418,0.622058145,41,167
E02000125,382500,Brent,West,Outer,Labour,141.3685035,71.752196,20.5,82.05,46.12112806,6.743162528,37287.95251,0.69045969,48.4,110
E02000126,295000,Brent,West,Outer,Labour,168.8056634,67.691318,28.1,79.75,66.88102894,14.5757418,22165.10808,0.392191659,11.9,28
E02000127,180000,Bromley,South,Outer,Conservative,38.9458075,63.149829,26.4,78.9,19.48603089,9.184675835,25946.3441,0.914013605,51.6,91
E02000128,290000,Bromley,South,Outer,Conservative,28.73191691,64.299424,22.7,81.6,11.66712366,4.441041348,37117.33276,1.251829674,73.9,104
E02000130,264600,Bromley,South,Outer,Conservative,54.32339681,69.20647,21.6,79.6,30.50290624,7.024070022,34183.19331,0.843244804,58.9,111
E02000131,199995,Bromley,South,Outer,Conservative,52.23593343,75.307125,21.4,79.75,37.37994193,8.059538936,29838.51984,0.581608194,38.7,186
E02000132,235000,Bromley,South,Outer,Conservative,51.32351249,71.121746,17.8,80.6,19.51675032,5.738494127,36072.79255,0.836332476,53.1,152
E02000133,463750,Bromley,South,Outer,Conservative,16.29941943,60.160316,16.2,81.75,12.08619613,3.334722801,60333.08827,1.500378692,84.9,188
